,A1,A2,A3,A4,A5,A6,B1,B2,B3,I1,I2,I3,I4
Inflow difference abs [veh/day],-35.6,-45.4,-12.6,-13.4,-46.6,-30.2,-82.2,-41.7,-30.8,-18.6,-24.5,-4.0,-5.2
Inflow difference rel [%/day],-19.9,-25.4,-7.1,-7.5,-26.1,-16.9,-46.0,-23.3,-17.2,-10.4,-13.7,-2.2,-2.9
Traffic difference abs [veh/policy-hours],-0.7,-4.0,-0.1,-4.7,-0.7,-0.7,-0.6,-2.1,-0.6,-0.4,-3.7,0.4,-4.5
Traffic difference rel [%/policy-hours],-4.7,-26.2,-0.8,-30.6,-4.4,-4.7,-3.9,-13.8,-3.8,-2.5,-24.4,3.0,-29.2
Traffic difference abs [veh/day],2.4,-1.5,2.2,1.2,3.0,2.0,4.3,-0.7,2.5,2.4,-1.3,2.1,1.5
Traffic difference rel [%/day],15.8,-9.7,14.4,7.9,19.3,13.1,28.0,-4.9,16.1,15.7,-8.3,13.9,9.5
Emissions difference abs [NOx/day],-217.6,-276.9,-75.3,-83.1,-325.3,-184.6,-502.1,-253.5,-188.0,-114.3,-149.9,-23.7,-33.0
Emissions difference rel [%],-20.0,-25.4,-6.9,-7.6,-29.8,-16.9,-46.1,-23.3,-17.2,-10.5,-13.8,-2.2,-3.0
Paying inflow [veh/day],186.9,240.0,83.7,96.8,141.6,175.8,2.5,222.9,202.2,242.7,308.6,112.5,122.8
Collected fees [€/day],934389.0,1200180.0,418309.0,484096.0,974624.0,879110.0,12703.0,1114365.0,1011125.0,1213679.0,1542914.0,562492.0,613812.0
Time-shifted abs [veh/day],58.6,55.8,47.7,51.7,67.9,51.2,90.3,3.4,59.2,58.2,55.4,46.6,52.6
Mode-shifted abs [veh/day],26.5,33.0,10.4,11.3,32.5,22.8,48.7,29.1,0.0,26.2,32.7,10.1,11.6
Lost abs [veh/day],87.3,111.0,29.3,31.0,116.8,73.7,216.2,106.8,97.9,86.2,109.4,27.7,32.3
